User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
34.0,248487936.0,0,1,9,933,5,1,1,6,99.99
13.0,81605632.0,0,1,4,2092,4,1,1,0,0.0
158.0,206257152.0,1,1,4,2710,4,1,15,10,19.99
12841.0,30577664.0,1,0,9,1431,4,1,1,1,0.99
89891.0,223431680.0,1,1,12,3681,4,1,46,10,99.99
5.0,318138368.0,1,1,17,342,5,1,1,0,0.0
6.0,172837888.0,1,1,17,1440,3,1,9,0,0.0
461.0,30818304.0,1,1,9,989,3,1,1,3,0.99
22.0,12665856.0,0,1,4,290,4,1,31,0,0.0
60.0,247933952.0,1,1,9,1091,4,1,1,10,49.99
5.0,111194112.0,1,0,9,1444,3,1,14,5,89.99
63.0,16903168.0,0,1,12,478,3,1,1,1,1.99
130.0,25079808.0,0,1,4,438,4,1,1,0,0.0
14.0,246844416.0,1,1,12,246,3,1,1,0,0.0
3917.0,404534272.0,1,1,4,2122,3,1,3,7,99.99
4255.0,222107648.0,1,1,4,72,4,1,7,0,0.0
34.0,456816640.0,1,1,9,1347,5,1,16,10,49.99
10.0,122109952.0,0,1,12,313,2,1,1,3,6.99
18.0,62361600.0,0,1,4,1183,4,1,1,1,0.99
6856.0,3716897792.0,1,1,12,3780,4,1,12,16,29.99
32356.0,44116992.0,1,1,4,1158,4,1,3,0,0.0
23.0,11464704.0,0,1,9,947,4,1,1,3,19.99
6.0,17924096.0,0,1,4,248,3,1,1,3,2.99
10.0,28888064.0,0,1,4,584,4,1,1,1,1.99
28.0,303534080.0,0,1,4,1482,4,1,10,1,4.99
9.0,47628288.0,0,1,12,970,3,1,2,1,19.99
55.0,657796096.0,0,1,12,1087,4,1,18,10,24.99
1102.0,98813952.0,1,1,9,2397,4,1,20,16,39.99
22.0,9363456.0,0,1,4,118,3,1,1,0,0.0
1070.0,211465216.0,0,1,17,1444,3,1,1,5,99.99
51.0,296215552.0,1,1,4,1221,4,1,11,9,19.99
32.0,275671040.0,0,1,9,1363,4,1,13,7,99.99
683.0,153520128.0,0,1,12,1109,3,1,1,10,9.99
74.0,43257856.0,1,1,12,387,4,1,1,0,0.0
33.0,72089600.0,0,1,4,435,3,1,1,3,5.99
16.0,41844736.0,0,1,4,2038,3,1,1,0,0.0
672.0,161323008.0,1,1,4,1985,4,1,1,10,14.99
34.0,64036864.0,0,1,4,1511,4,1,5,6,99.99
531.0,316754944.0,1,1,9,1196,4,1,1,10,99.99
3576.0,102119424.0,1,1,12,1432,5,1,11,9,99.99
101.0,56546304.0,0,1,4,1644,4,1,1,3,1.99
27.0,45083648.0,0,1,4,846,4,1,1,5,3.99
41.0,447825920.0,0,1,12,1378,2,1,19,10,99.99
2606.0,107105280.0,0,0,9,1324,3,1,1,0,0.0
7.0,49758208.0,0,0,9,1184,5,1,15,4,7.99
138.0,135400448.0,1,1,4,4117,4,1,1,5,49.99
6.0,34201600.0,0,0,12,897,3,1,1,0,0.0
72.0,139923968.0,0,1,9,2504,4,1,8,4,14.99
242.0,219392000.0,0,1,17,2590,4,1,1,10,14.99
14.0,14094336.0,0,1,4,453,4,1,1,0,0.0
42.0,14088192.0,0,1,17,884,5,1,1,4,49.99
22.0,360751104.0,0,0,9,1423,5,1,1,0,0.0
267.0,282842112.0,0,1,12,1776,4,1,16,9,99.99
163.0,210816000.0,0,0,12,994,4,1,1,0,0.0
198.0,356790272.0,1,1,12,1033,3,1,1,9,6.99
9.0,153109504.0,0,0,9,503,2,1,8,2,0.99
23.0,35442688.0,1,1,9,715,4,1,1,1,1.99
48.0,28418048.0,0,1,4,292,4,1,1,0,0.0
1188.0,265680896.0,1,1,9,2296,3,1,14,15,99.99
970.0,22685696.0,0,1,4,164,3,1,1,2,1.99
6.0,14114816.0,0,1,4,210,4,1,1,0,0.0
353.0,145480704.0,1,1,4,2118,3,1,1,10,49.99
11.0,65680384.0,1,1,4,675,4,1,1,0,0.0
66.0,83205120.0,0,1,4,836,4,1,1,3,1.99
20.0,14516224.0,0,1,4,1432,4,1,1,0,0.0
1953.0,176345088.0,0,1,9,1777,3,1,17,10,99.99
27.0,19252224.0,0,0,4,426,4,1,1,0,0.0
473.0,118474752.0,0,1,4,3565,3,1,1,5,49.99
6.0,410147840.0,1,1,4,814,3,1,1,3,19.99
11.0,153627648.0,1,1,4,522,4,1,10,7,119.99
22.0,39713792.0,1,1,4,776,5,1,1,6,9.99
17.0,101749760.0,1,0,9,2213,4,1,1,10,19.99
509.0,285711360.0,1,1,9,1115,4,1,1,10,49.99
461.0,185158656.0,1,1,9,2323,4,1,12,8,89.99
19.0,113949696.0,1,1,9,387,4,1,1,0,0.0
5.0,10183376.0,0,1,4,890,4,1,18,2,0.99
22.0,81894400.0,0,1,4,402,2,1,1,1,2.99
5.0,170974208.0,0,1,4,1370,4,1,1,4,17.99
15.0,122398720.0,1,1,9,558,3,1,1,0,0.0
11.0,63667200.0,1,1,12,678,3,1,1,0,0.0
23.0,221622272.0,0,1,9,1882,4,1,1,4,2.99
93235.0,259371008.0,0,0,4,715,4,1,1,10,4.99
41.0,148193280.0,1,1,4,1484,3,1,1,4,19.99
7.0,567900160.0,0,0,12,1515,4,1,6,0,0.0
9.0,19490816.0,0,1,4,684,3,1,31,0,0.0
14.0,50647040.0,0,1,4,159,4,1,2,0,0.0
276.0,85621760.0,1,1,4,1850,4,1,1,7,99.99
19.0,8921088.0,0,1,4,453,4,1,1,1,0.99
258.0,34129920.0,0,1,4,238,3,1,1,0,0.0
19336.0,751147008.0,1,0,9,1403,4,1,10,10,16.99
1009.0,123698176.0,1,1,4,2156,4,1,2,7,8.49
7.0,62911488.0,0,1,9,587,4,1,1,0,0.0
9.0,58126336.0,0,1,4,441,3,1,1,1,2.99
13.0,372554752.0,1,1,12,3728,4,1,4,4,3.99
6.0,6456320.0,0,1,4,124,4,1,2,1,0.99
6.0,32053248.0,0,1,4,706,2,1,1,0,0.0
6.0,32423936.0,0,1,4,1191,3,1,1,7,5.99
86.0,138593280.0,0,1,9,1020,3,1,1,7,99.99
532.0,30134272.0,0,1,4,2331,3,1,1,0,0.0
6.0,35307520.0,0,1,4,195,3,1,2,2,0.99
47.0,217388032.0,1,1,9,2038,4,1,8,6,29.99
14777.0,139816960.0,0,1,4,2683,4,1,1,2,3.99
17.0,3371008.0,0,0,4,621,4,1,1,0,0.0
10.0,16220160.0,0,1,4,225,3,1,1,1,0.99
32.0,61274112.0,0,1,9,854,3,1,1,8,4.99
2753.0,781709312.0,1,1,12,2538,4,1,1,5,19.99
5.0,174809088.0,1,1,9,3626,3,1,1,3,4.99
47.0,129716224.0,1,1,12,2007,2,1,10,2,29.99
5.0,326955008.0,0,1,4,1016,4,1,1,0,0.0
36.0,170752000.0,0,1,4,928,4,1,1,1,4.99
20.0,45099008.0,1,1,9,103,5,1,22,6,99.99
32.0,68359168.0,0,1,12,933,4,1,1,3,1.99
256.0,652736512.0,1,1,4,606,4,1,1,10,19.99
12.0,24114176.0,0,0,9,1371,4,1,4,1,0.0
14.0,134635520.0,1,1,17,715,4,1,1,0,0.0
341.0,96487424.0,1,1,9,1827,4,1,5,10,6.99
54.0,12474577.0,0,1,4,1367,4,1,3,3,4.99
1854.0,120340480.0,0,1,4,708,4,1,1,10,3.99
27.0,81715200.0,0,1,17,931,3,1,1,3,9.99
55.0,12353536.0,0,1,4,457,4,1,1,0,0.0
2360.0,94826496.0,1,1,4,1621,4,1,3,9,49.99
26.0,1267209216.0,0,0,12,528,5,1,1,0,0.0
16.0,28286976.0,0,1,4,705,4,1,1,1,0.99
15.0,31452254.0,0,1,12,1244,4,1,1,1,0.99
56.0,166757376.0,1,1,12,892,3,1,3,9,99.99
248.0,136123392.0,0,1,4,701,4,1,1,3,2.99
5.0,22065152.0,0,0,4,3799,4,1,2,0,0.0
14.0,70737920.0,0,1,4,861,4,1,1,10,4.99
64.0,8647680.0,0,1,4,1010,3,1,31,0,0.0
18.0,36622336.0,0,1,4,694,4,1,1,1,0.99
6.0,32866306.0,0,1,4,850,3,1,1,2,7.99
820.0,66686012.0,0,1,4,613,3,1,1,6,6.99
682.0,131994624.0,0,1,4,735,3,1,1,1,4.99
5381.0,43526144.0,0,1,4,357,4,1,1,0,0.0
19.0,31442944.0,1,1,4,795,4,1,1,9,1.99
2966.0,61284352.0,0,0,4,712,4,1,2,7,19.99
194.0,138543104.0,0,1,12,3117,4,1,1,3,1.99
79.0,296632320.0,0,0,4,1712,4,1,9,0,0.0
14742.0,86545408.0,0,1,9,1076,5,1,1,10,99.99
2786.0,63672320.0,1,0,4,3185,3,1,1,6,4.99
15.0,409570.0,0,1,4,893,4,1,1,0,0.0
252.0,79267840.0,1,1,4,1059,4,1,3,8,19.99
1121.0,254496768.0,0,0,9,3008,4,1,6,5,19.99
12.0,15872000.0,0,1,4,347,3,1,1,5,4.99
38.0,34247680.0,0,0,9,1027,4,1,1,1,1.99
982.0,894489600.0,1,1,12,3186,4,1,10,16,29.99
16.0,10534912.0,0,1,4,1657,4,1,1,1,0.99
52.0,23592960.0,1,1,4,1361,4,1,1,3,0.99
7.0,6299648.0,0,0,4,800,3,1,1,0,0.0
6445.0,91420672.0,0,1,12,1432,3,1,11,9,99.99
31.0,87768064.0,1,1,12,537,3,1,1,2,3.99
91651.0,203108352.0,1,1,9,2108,4,1,11,10,19.99
330.0,202849280.0,1,1,12,2511,3,1,10,10,19.99
4025.0,42757120.0,1,1,4,2683,4,1,1,10,4.99
89.0,20000768.0,0,1,4,212,5,1,1,2,1.99
5346.0,140959744.0,1,1,9,2864,3,1,1,10,9.99
39.0,618165248.0,0,1,4,686,5,1,1,5,24.99
718.0,160809984.0,1,1,9,1807,5,1,1,6,99.99
6147.0,54165504.0,1,1,4,2051,4,1,1,0,0.0
24.0,35758080.0,0,1,4,588,4,1,4,0,0.0
34.0,39718912.0,0,1,4,56,4,1,7,2,1.99
357.0,693882880.0,0,0,12,3307,4,1,10,1,1.99
26.0,8820736.0,0,1,4,2510,4,1,2,0,0.0
23.0,227286016.0,1,1,4,4102,3,1,1,12,14.99
275.0,31575040.0,1,1,4,527,4,1,3,10,29.99
88.0,99802112.0,0,1,9,160,4,1,1,3,2.99
566.0,321665024.0,1,1,12,2465,3,1,1,10,94.99
45686.0,92408832.0,1,1,4,3749,4,1,1,4,49.99
10.0,151497728.0,1,1,4,1280,4,1,1,0,0.0
11.0,99683328.0,0,1,9,1038,4,1,4,2,6.99
20.0,19283845.0,0,1,4,2424,3,1,1,0,0.0
1367.0,63735808.0,1,1,4,3950,4,1,1,3,0.99
2512.0,220811264.0,1,1,9,2858,4,1,18,16,99.99
861.0,5682435.0,0,1,4,1274,4,1,5,0,0.0
265.0,109746176.0,1,1,4,683,4,1,1,1,0.99
359.0,102265856.0,0,1,4,1156,4,1,1,6,9.99
20.0,38791168.0,1,1,9,1096,3,1,25,5,9.99
99.0,114019328.0,1,0,4,3641,3,1,1,6,4.99
12842.0,218394624.0,0,1,12,1882,5,1,6,10,99.99
