User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
55.0,61958144.0,1,1,9,798,3,1,1,1,0.99
312.0,151030784.0,0,1,12,579,4,1,1,3,1.99
57.0,138716160.0,0,1,4,626,4,1,3,0,0.0
274.0,165574656.0,1,1,12,2004,4,1,17,10,19.99
20.0,28364800.0,0,1,4,606,4,1,1,0,0.0
13.0,37171200.0,0,1,4,1065,4,1,1,7,2.99
88.0,28607488.0,1,0,4,669,3,1,4,0,0.0
5.0,29138944.0,0,1,4,1566,4,1,1,0,0.0
265.0,158310400.0,1,1,12,1608,3,1,1,6,99.99
34.0,88822784.0,0,1,9,3496,4,1,4,8,99.99
62.0,56733696.0,0,1,4,297,3,1,1,0,0.0
13.0,230088704.0,0,0,4,2144,4,1,1,0,0.0
260.0,159466496.0,1,1,4,876,4,1,1,5,39.99
31.0,18116485.0,0,1,4,639,4,1,16,0,0.0
53.0,228952064.0,0,1,4,1573,4,1,1,1,5.99
9.0,43722752.0,0,1,12,889,4,1,1,0,0.0
5.0,46417920.0,0,1,4,495,4,1,1,4,0.99
31.0,18957312.0,1,1,4,1356,4,1,1,0,0.0
33.0,22585344.0,0,1,4,415,4,1,1,7,3.99
20.0,166179840.0,1,1,4,967,4,1,1,0,0.0
112.0,80496640.0,0,1,9,2617,4,1,4,10,19.99
351.0,135937024.0,0,1,4,781,2,1,6,3,5.99
32.0,86605824.0,0,1,4,817,3,1,1,1,1.99
9.0,13899930.0,0,1,4,705,3,1,3,1,1.99
16.0,107941888.0,0,1,4,997,3,1,1,3,9.99
17.0,59117568.0,1,1,4,2616,4,1,1,8,6.99
8.0,5095424.0,1,1,4,619,4,1,2,0,0.0
23.0,17518959.0,0,1,4,1687,4,1,9,0,0.0
51.0,50345984.0,0,1,4,2047,4,1,1,6,4.99
8.0,329858048.0,0,1,17,947,4,1,1,0,0.0
167.0,289270784.0,1,1,4,2611,4,1,3,10,99.99
21.0,13705216.0,0,1,17,237,3,1,16,0,0.0
22.0,82633728.0,0,0,4,2139,4,1,1,0,0.0
49.0,179817472.0,0,1,12,1041,4,1,1,1,1.99
7.0,76137472.0,1,1,4,145,4,1,1,0,0.0
14.0,186808320.0,1,1,9,2714,4,1,1,4,19.99
27.0,306857984.0,1,1,9,1483,3,1,5,10,99.99
18.0,41144320.0,0,1,4,1148,4,1,1,1,0.99
11.0,16494592.0,0,1,4,1540,4,1,1,1,2.99
17.0,148554752.0,0,1,9,962,3,1,13,8,14.99
6.0,43274240.0,0,1,4,219,4,1,2,2,2.99
11865.0,1514822656.0,1,1,12,3033,4,1,12,10,99.99
10.0,133178368.0,1,1,12,2057,2,1,1,4,79.99
85.0,87171072.0,0,1,9,795,4,1,31,0,0.0
14.0,84516864.0,1,1,4,1028,4,1,2,1,0.99
14.0,160972800.0,0,1,9,538,4,1,1,0,0.0
336.0,64624640.0,0,0,4,961,4,1,1,0,0.0
15.0,49493545.0,0,1,4,4122,3,1,1,0,0.0
8.0,151555072.0,1,1,12,1433,4,1,1,1,0.99
6.0,104183808.0,0,1,17,1916,3,1,1,1,4.99
194.0,1304573952.0,1,1,12,1091,3,1,12,7,99.99
168.0,361805824.0,1,1,4,1762,4,1,1,9,19.99
1715.0,66065408.0,0,1,4,2796,3,1,4,9,74.99
471.0,181011456.0,0,0,4,2120,4,1,5,0,0.0
114.0,82959360.0,0,1,4,3719,3,1,11,0,0.0
26.0,19681763.0,0,1,4,1046,4,1,1,0,0.0
29.0,4313088.0,0,1,4,1128,4,1,20,0,0.0
